"State","Land Use & Land Use Change Categories","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Colorado","Total Land Converted to Forest Land",36.5,36.5,36.5,36.5,36.5,36.5,37.06,37.06,37.06,37.06,37.06,37.06,37.06,37.06,37.06,37.06,34.21,34.21,34.21,34.21,34.21,34.21,34.21,34.21,34.21,34.21,34.21,31.19,31.19,31.19,31.19,31.19,31.19
"Colorado","CF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colorado","GF",29.33,29.33,29.33,29.33,29.33,29.33,29.78,29.78,29.78,29.78,29.78,29.78,29.78,29.78,29.78,29.78,27.49,27.49,27.49,27.49,27.49,27.49,27.49,27.49,27.49,27.49,27.49,30.35,30.35,30.35,30.35,30.35,30.35
"Colorado","OF",6.81,6.81,6.81,6.81,6.81,6.81,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,0.45,0.45,0.45,0.45,0.45,0.45
"Colorado","SF",0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.4,0.4,0.4,0.4,0.4,0.4
"Colorado","WF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colorado","Total Forest Land Converted to Land",25.5,25.5,25.5,25.5,25.5,25.5,25.76,25.76,25.76,25.76,25.76,25.76,25.76,25.76,25.76,25.76,23.65,23.65,23.65,23.65,23.65,23.65,23.65,23.65,23.65,23.65,23.65,26.4,26.4,26.4,26.4,26.4,26.4
"Colorado","FC",0.64,0.64,0.64,0.64,0.64,0.64,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.6,0.6,0.6,0.6,0.6,0.6
"Colorado","FG",21.63,21.63,21.63,21.63,21.63,21.63,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,22.45,22.45,22.45,22.45,22.45,22.45
"Colorado","FO",0.86,0.86,0.86,0.86,0.86,0.86,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.62,0.62,0.62,0.62,0.62,0.62
