"State","Gas","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Michigan","NOx",0.15,,,,0.11,0.06,0.01,,0.13,0.34,0.1,,0.04,0.22,0.04,0.04,0.24,1.48,0.02,0.16,0.13,0.1,1.02,0,0.04,0.05,0.08,0.08,0.06,0.09,0.01,0.01
"Minnesota","CH4",7.03,3.11,0.67,0.07,0.28,0.76,0.86,0.12,1.53,0.15,1.68,0.09,0.36,2.5,0.6,1.82,4.5,2.73,0.16,0.95,3.41,26.33,8.89,0.47,0.28,1.18,0.46,0.1,2.56,0.39,0.72,7.73
"Minnesota","N2O",0.5,0.24,0.05,0.01,0.02,0.06,0.07,0.01,0.1,0.01,0.12,0.01,0.03,0.18,0.05,0.13,0.34,0.2,0.01,0.08,0.23,1.76,0.59,0.03,0.02,0.08,0.03,0.01,0.18,0.03,0.05,0.53
"Minnesota","CO",183.39,84.08,18.13,1.95,7.83,20.6,24.04,3.22,39.25,4.18,44.16,2.36,9.59,65.51,16.07,47.54,121.64,71.93,4.31,27.26,87.41,672.64,226.67,12.36,7.25,30.17,11.91,2.7,66.21,10.12,18.42,199.22
"Minnesota","NOx",2.75,1.39,0.27,0.05,0.15,0.29,0.36,0.06,0.55,0.08,0.7,0.04,0.15,1,0.26,0.64,1.68,1.1,0.07,0.54,1.19,8.53,3.02,0.19,0.11,0.4,0.18,0.04,1,0.14,0.26,2.57
"Mississippi","CH4",0.35,0.19,0.19,0.03,0.26,0.15,0.35,0.15,0.03,0.09,0.27,0.25,0.25,0.29,0.33,1.19,0.92,0.66,1.83,0.73,2.01,1.33,0.34,2.04,2.3,1.24,1.22,0.76,1.35,0.76,0.69,0.51
"Mississippi","N2O",0.03,0.02,0.02,0,0.02,0.01,0.03,0.01,0,0.01,0.02,0.02,0.02,0.03,0.03,0.11,0.09,0.06,0.17,0.07,0.19,0.13,0.03,0.19,0.21,0.12,0.11,0.07,0.12,0.07,0.06,0.05
"Mississippi","CO",10.09,5.3,5.36,0.88,7.38,4.31,9.79,4.1,0.92,2.64,7.22,7.19,6.93,8.07,8.96,32.28,25.97,18.41,51.53,20.63,56.19,37.04,9.63,57.26,63.82,35.12,33.63,21.09,36.57,20.86,18.4,14.56
"Mississippi","NOx",0.3,0.16,0.17,0.02,0.21,0.13,0.28,0.12,0.02,0.08,0.21,0.2,0.2,0.23,0.25,0.91,0.71,0.52,1.43,0.56,1.55,1.1,0.26,1.58,1.8,0.96,0.89,0.56,0.95,0.56,0.49,0.41
"Missouri","CH4",0.09,1.72,0.42,,1.88,0.45,0.37,0.1,0.03,0.48,0.61,0.08,0.44,0.87,1.06,1.41,1.22,0.95,0.49,1.51,2.75,1.78,1.02,0.77,0.84,1.12,0.97,1.02,0.92,1.75,0.8,2.93
"Missouri","N2O",0.01,0.16,0.04,,0.18,0.04,0.03,0.01,0,0.04,0.06,0.01,0.04,0.08,0.1,0.13,0.11,0.09,0.05,0.14,0.25,0.17,0.1,0.07,0.08,0.11,0.09,0.1,0.09,0.17,0.07,0.28
"Missouri","CO",2.59,51.41,12.65,,55.9,13.36,10.87,2.87,0.83,14.01,18.17,2.44,13.1,25.7,31.34,42.01,35.96,28.43,14.64,45.03,80.26,53.29,30.31,22.83,25.06,33,28.94,30.45,27.17,52,23.52,86.15
"Missouri","NOx",0.07,1.32,0.32,,1.42,0.34,0.27,0.07,0.02,0.35,0.46,0.07,0.34,0.65,0.8,1.08,0.91,0.73,0.37,1.15,2,1.37,0.77,0.58,0.64,0.85,0.74,0.78,0.7,1.33,0.6,2.29
"Montana","CH4",1.39,2.48,0.06,0.01,9.84,0.01,1.46,0,3.63,2,67.65,18.13,1.79,64.64,0.44,5.35,25.33,63.71,1.33,2.8,0.69,7.41,16.2,6.3,0.48,28.93,3.8,74.52,8.52,1.31,5.58,35.87
"Montana","N2O",0.09,0.16,0.01,0,0.58,0,0.09,0,0.2,0.12,3.77,0.95,0.14,3.49,0.03,0.31,1.6,3.43,0.09,0.16,0.05,0.44,1.2,0.35,0.03,1.54,0.22,4.23,0.45,0.09,0.41,2.13
"Montana","CO",29.45,52.44,1.19,0.17,201.72,0.29,30.44,0.04,74.02,41.1,1393.95,368.21,36.72,1312.91,9.07,110.21,525.56,1304.52,26.9,57.95,14.29,150.45,328.6,129.62,9.93,589.52,78.06,1526.11,173.4,27.37,114.65,739.75
"Montana","NOx",0.67,1.05,0.06,0.01,3.82,0.01,0.67,0,1.12,0.81,19.91,4.77,1.5,19.42,0.29,1.86,10.87,17.45,0.7,0.87,0.31,3,12.18,1.78,0.21,7.96,1.24,25.13,2.32,0.69,3.9,13.59
"Nebraska","CH4",,0,,,,0,0,0,0,0,0.06,0.02,0.03,0,0.01,0.01,1.7,0.02,0.03,0.09,0.03,0.03,3.71,0.02,0,0.01,0.02,0.01,0.02,0,0.03,0.29
"Nebraska","N2O",,0,,,,0,0,0,0,0,0.01,0,0,0,0,0,0.15,0,0,0.01,0,0,0.32,0,0,0,0,0,0,0,0,0.03
"Nebraska","CO",,0,,,,0.01,0,0.03,0.06,0.01,1.26,0.46,0.63,0.03,0.41,0.14,34.19,0.35,0.78,2.65,0.57,0.76,74.27,0.66,0.1,0.13,0.41,0.14,0.71,0,0.67,6.24
"Nebraska","NOx",,0,,,,0,0,0,0,0,0.08,0.02,0.04,0,0.01,0.01,1.97,0.02,0.02,0.08,0.03,0.02,4.22,0.02,0,0,0.02,0.01,0.02,0,0.03,0.29
"Nevada","CH4",0,0.04,0.26,0,0.32,0.04,0.52,0.01,0.01,1.03,0.73,1.46,0.1,0.03,0.47,0.22,0.72,0.37,1.8,0.15,0.02,0.49,0.95,1.7,0.5,0.05,0.53,0.36,3.04,0.06,0.31,0.32
"Nevada","N2O",0,0.01,0.03,0,0.03,0,0.05,0,0,0.08,0.05,0.11,0.01,0,0.03,0.02,0.07,0.04,0.12,0.01,0,0.05,0.1,0.12,0.03,0,0.03,0.03,0.25,0.01,0.02,0.02
"Nevada","CO",0.09,1.02,5.93,0.04,6.7,0.89,11.43,0.12,0.19,21.53,15.48,31.41,2.23,0.7,9.69,5.08,16.03,8.26,37.61,3.05,0.51,11.1,21.65,35.46,10.65,1.07,10.84,7.37,65.93,1.33,6.31,6.45
"Nevada","NOx",0,0.05,0.23,0,0.23,0.04,0.46,0,0.01,0.72,0.4,0.85,0.04,0.01,0.22,0.22,0.64,0.31,0.85,0.09,0.01,0.48,0.89,0.93,0.22,0.03,0.26,0.21,1.98,0.06,0.17,0.19
"New Hampshire","CH4",,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,
"New Hampshire","N2O",,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,
"New Hampshire","CO",,,,,,,,,,,,,,,,0.09,,,,,0.01,,,,,,,,,,,
"New Hampshire","NOx",,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,
"New Jersey","CH4",0.09,0.2,0.58,0.08,0.01,0.64,0.2,0.18,0.13,0.41,0.06,0.23,0.13,0.05,0.13,0.07,0.1,0.43,0.11,,0.07,,0.05,,0.05,0.06,0.03,0.06,0.04,0.22,0.1,0.18
"New Jersey","N2O",0.01,0.01,0.04,0.01,0,0.04,0.02,0.01,0.01,0.02,0,0.02,0.01,0,0.01,0,0.01,0.03,0.01,,0,,0,,0,0,0,0,0,0.02,0.01,0.01
"New Jersey","CO",2.33,4.52,12.86,1.88,0.24,14.37,5.13,4.3,2.75,8.58,1.42,5.74,3.06,1.02,2.84,1.36,2.08,9.36,2.58,,1.56,,1.16,,1.4,1.37,0.71,1.2,0.78,5.33,2.52,4.13
"New Jersey","NOx",0.06,0.11,0.32,0.05,0.01,0.35,0.13,0.11,0.06,0.19,0.04,0.15,0.07,0.02,0.07,0.03,0.04,0.22,0.07,,0.04,,0.03,,0.04,0.03,0.02,0.03,0.02,0.13,0.06,0.1
"New Mexico","CH4",0.19,0.09,1.34,4.67,2.53,4.79,3.6,1.69,1.08,1.08,7.38,0.78,8.22,8.78,4.99,3.88,3.85,0.8,0.98,2.29,1.45,15.3,16.37,12.96,1.27,0.7,2.18,2.34,6.21,1.32,4.75,4.01
"New Mexico","N2O",0.01,0.01,0.1,0.32,0.18,0.32,0.26,0.12,0.07,0.08,0.51,0.06,0.57,0.61,0.32,0.28,0.28,0.06,0.07,0.17,0.1,1.03,1.12,0.8,0.09,0.05,0.17,0.18,0.45,0.1,0.34,0.28
"New Mexico","CO",3.96,1.7,26.94,94.86,51.25,98.08,74.42,34.61,22.47,21.8,151.67,15.61,170.23,178.43,102.21,77.82,77.75,15.99,19.87,46.44,29.57,318.12,335.79,269.5,25.95,13.98,43.9,47.62,127.05,26.93,96.19,82.27
"New Mexico","NOx",0.11,0.07,0.91,2.67,1.44,2.43,2.05,0.96,0.54,0.7,3.94,0.59,4.32,4.97,2.31,2.61,2.54,0.59,0.6,1.42,0.84,7.46,8.69,4.91,0.77,0.5,1.59,1.64,3.8,0.95,2.9,2.28
"New York","CH4",,,,,0,,,,,,,,0,,,,0.02,,0.09,,0,,0.02,0,,0.18,0.1,,0.01,,0.03,0
"New York","N2O",,,,,0,,,,,,,,0,,,,0,,0.01,,0,,0,0,,0.01,0.01,,0,,0,0
